번호,카테고리,질문,답변
43,세금계산서,세금계산서를 발급받고 싶어요,"2015년 7월 16일 이후 결제된 주문 건은 영수증/매출전표가 자동으로 발급됩니다. 신용카드 매출전표와 현금영수증이 발행되므로 '부가가치세법 제33조(세금계산서 발급의무의 면제 등)'에 의거하여 쿠팡에서는 별도로 세금계산서를 발행하지 않습니다.
 • 영수증/매출전표 출력과 거래명세서 확인은 PC 웹사이트에서만 가능합니다. (모바일 앱과 모바일 웹에서는 불가)
• 대금 결제 후 (대금 송금 후) 24시간 이후부터 영수증 조회 및 출력이 가능합니다.
• 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 영수증 확인 및 출력하기 (클릭)"
44,반품,마이쿠팡에서 반품접수가 안돼요.,"반품 기간이 경과한 이후에는 마이쿠팡을 통해 교환/반품 접수가 불가합니다. 또한, 주문제작, 설치배송상품, 신선/냉장/냉동, 순금, 업체직송상품 등의 상품은 출고된 이후 마이쿠팡에서 교환/반품 접수가 불가합니다. 상품에 따라 교환/반품 조건이 다르므로 정확한 내용은 구매한 상품의 상세페이지 내 배송/교환/반품/판매자 안내를 참고하시기 바랍니다. 상품에 문제가 있거나 제공한 내용과 다른 경우에는 고객센터 또는 판매자에게 문의 부탁드립니다.   
 교환/반품 가능 기간 (클릭)







 판매자 정보 확인하기 (클릭)"
45,프레시백,프레시백은 언제까지 어떻게 반납해야 하나요?,"프레시백은 배송 받으신 후 60일 이내에 반납이 필요하며, 다음 주문 시 문 앞에 두면 배송과 함께 수거합니다. 또한, 로켓프레시 뿐 아니라 로켓와우, 로켓배송 주문 시에도 관계없이 반납이 가능하며, 미반납 시 등록된 와우 멤버십 결제수단으로 지연 사용료가 부과됩니다. 지연 사용료는 프레시백 1개당 8,000원이며, 프레시백 반납 시 자동으로 환불됩니다. 다음 주문까지 기다리기 어렵다면 아래의 경로에서 수거요청 버튼을 눌러주세요. 배송직원이 방문하여 수거합니다.
 프레시백 수거 요청하기
마이쿠팡 → 로켓프레시 프레시백 → [수거요청] 클릭"
46,환불,"반품 신청을 했는데, 언제 환불되나요?","환불 예정일 확인하기
마이쿠팡 → 취소/반품/교환/환불내역
※ 단, 회수가 완료된 이후부터 확인 가능
 반품 후 환불까지의 소요시간은 판매자와 결제수단에 따라 다릅니다. 배송직원 혹은 택배기사가 회수한 반품 상품은 평일 기준 약 1~2일 이내에 판매자에게 도착합니다. 상품을 검수한 뒤 이상이 없다면, 구매내역을 즉시 취소하여 문자로 안내합니다. 환불 일정은 결제수단별로 다르니 아래의 내용을 참고하시기 바랍니다.
 결제수단별 환불 기간 (더 보기)











 환불계좌 등록하기 (더 보기)"
47,와우 멤버십,와우 멤버십에 가입하면 어떤 점이 좋은가요?,"월정액 회원제 서비스인 와우 멤버십에 가입하면 쿠팡의 로켓배송, 로켓프레시, 로켓와우, 쿠팡플레이, 쿠팡이츠 등의 혜택을 이용할 수 있습니다. 혜택 상세내용은 아래를 참고해 주세요.
 와우 멤버십 상세혜택
① 로켓배송 상품 하나만 사도 무료배송
② 로켓프레시 신선식품 새벽 배송 
• 15,000원 이상 구매 시 주문이 가능합니다.
• 배송 가능 지역에 한하여 제공됩니다.
③ 낮 시간 주문 새벽 도착
• 로켓배송 상품 중 ‘내일 새벽 도착 보장’ 정보가 표시된 상품을 주문하면 다음날 새벽에 바로 받을 수 있습니다.
④ 아침 주문 저녁 도착
• 로켓배송 상품 중 ‘오늘 도착 보장’ 정보가 표시된 상품을 주문하면 그날 받을 수 있습니다.
⑤ 로켓배송 상품 도착 후 30일 동안 무료 반품
• 미사용 상품에 한하여 단순 변심으로 인한 반품이 가능합니다.
• 로켓프레시, 로켓직구는 30일 무료반품 대상이 아닙니다.
⑥ 로켓 와우 회원 전용 특가 상품
⑦ 첫 30일 최대 5% 쿠팡캐시 적립 (쿠페이 머니로 결제 시)
⑧ 쿠팡플레이 특별 혜택 (쿠팡비즈 회원은 제외)
⑨ 쿠팡이츠 매 주문 무료배달
• 주문 시점의 와우 무료배달 적용 매장 배달 건 대상 (지역/기간별 상이)
 와우 멤버십 신청 바로가기 (클릭)
 와우 멤버십 월회비는 쿠페이에 등록된 결제수단(계좌이체, 카드, 쿠페이 머니)으로 매월 동일한 일자에 자동으로 결제됩니다. 이용을 원하지 않으면 언제든 와우 멤버십을 해지할 수 있습니다. 단, 와우 멤버십 서비스는 가능 지역에 한정됩니다."
48,신용카드,신용카드 무이자 할부가 가능한가요?,"일반 신용카드 및 쿠페이에 등록한 신용카드로 5만원 이상 결제 시 할부가 가능합니다. 단, 무이자 할부 가능 여부는 주문서 페이지에서 할부 개월을 선택하면 확인할 수 있습니다. 결제를 할 때에도 카드 설정 칸 아래에 [무이자 할부 및 할인 혜택]에서 각 카드사별 무이자 할부 혜택을 확인할 수 있습니다. 무이자 할부 혜택은 매월 새롭게 변경되고 카드사별로 무이자 할부 기준이 다르기에 보다 자세한 내용은 이용하시는 카드사로 문의해 주시기 바랍니다."
49,개인정보 설정,광고성 이메일과 문자를 받지 않으려면 어떻게 하나요?,"마이쿠팡에서 광고성 정보 수신 동의를 철회하시면 됩니다. 수신 동의 철회 후 약 2~3일 뒤부터 광고성 이메일과 문자가 발송되지 않습니다. 단, 구매 정보 및 서비스 정책 변경 등의 정보성 안내 메일은 수신 동의 철회와 무관하게 발송됩니다.
 광고성 정보 수신 거부하기 
마이쿠팡 → MY정보 → 개인정보확인/수정 → 비밀번호 입력 → 광고성 정보 수신 OFF → [동의 철회] 클릭"
50,로켓배송,"로켓와우(새벽배송, 당일배송, 로켓프레시) 이용이 안 돼요.","지역에 따라 로켓와우(새벽배송, 당일배송, 로켓프레시) 상품 구매 혜택이 적용되지 않을 수 있습니다. 고객님께서 입력하신 기본 배송지가 로켓와우 서비스 가능 지역인지 확인을 부탁드립니다. 쿠팡은 앞으로 새벽배송, 당일배송, 로켓프레시 서비스 범위를 점차 넓혀가고, 더 많은 고객님들이 이용하실 수 있도록 준비 중이니 양해를 부탁드립니다.
 로켓와우 가능 지역 확인하기
• 마이쿠팡 → MY정보 → [배송지 관리] 클릭
• 이름 아래 [로켓와우 가능], [로켓프레시 가능] 배지 있는지 확인"
51,쿠팡캐시,쿠팡캐시는 어떻게 적립 받을 수 있나요?,"쿠팡캐시는 쿠페이 머니와 쿠페이 계좌이체로 결제를 하면 적립 받을 수 있습니다.
 기본 혜택
쿠페이 머니 결제 시, 결제금액의 1%를 쿠팡캐시로 적립 (월 최대 1만원까지 적립 가능)
 와우 멤버십 신규 고객 추가 혜택 (클릭)
 기타 쿠팡캐시 적립 방법 (클릭)
 쿠팡캐시 확인하기 (클릭)"
52,쿠팡체험단,쿠팡 체험단 초대 알림이 안 와요.,"쿠팡 체험단 초대는 고객님의 수신설정을 기반으로 문자, 이메일, 앱푸시로 발송되고 있습니다. 이에 반드시 알림 수신을 허용해 주시기 바랍니다. 쿠팡 체험단은 매 2주(격주) 화요일에 초대장을 발송하고 있습니다. 화요일이 공휴일인 경우에는 그다음 평일(영업일)에 진행됩니다. 당사 사정에 따라 알림 발송 시간은 변경될 수 있습니다. 
 문자, 이메일 수신 설정하기
① 마이쿠팡 → MY정보 → 개인정보확인/수정
② 비밀번호 입력
③ [SMS, MMS] 수신 동의 체크하기
④ [이메일] 수신 동의 체크하기
 모바일 알림(앱푸시) 수신 설정하기 (모바일 기기 및 앱에서 설정해 주세요.)
① 마이쿠팡 → '내이름' 선택 → 푸시설정
② [리뷰] ON 설정하기
③ [쇼핑혜택(광고성) 푸시 수신] ON 설정하기"
53,환불,"휴대폰결제 후 취소했는데, 언제 환불되나요?","휴대폰결제 후 주문을 취소하면 환불은 [취소완료] 문자 수신 후 평일(영업일) 기준 1일 이내에 한도가 복구됩니다. 단, 다음의 경우에는 별도로 환불이 진행될 수 있습니다. 
 별도 환불이 진행되는 경우 (클릭)
 환불계좌 등록하기 (클릭)"
54,개인정보 설정,회원정보 수정은 어떻게 하나요?,"로그인 후 아래의 경로에서 회원정보를 수정할 수 있습니다. 수정 가능한 회원정보는 이름(개명), 아이디(이메일), 휴대폰 번호입니다. 주소록(배송지)은 별도의 경로에서 수정이 가능합니다.
 회원정보 수정하기
마이쿠팡 → MY정보 → 개인정보확인/수정 → 비밀번호 입력
이후 수정을 원하는 항목의 [수정] 버튼을 클릭하여 수정합니다.
 주소록(배송지) 수정하기
마이쿠팡 → MY정보 → 배송지 관리 → 수정
 이름 변경 시 유의사항 (클릭)"
55,배송일정,로켓배송의 배송예정일이 늘어났어요.,"배송예정일은 출고 및 배송 상황에 따라 변경될 수 있습니다. 또한, 악천후와 명절 같은 예외적인 사유 발생 시에도 배송예정일이 늘어날 수 있습니다. 마지막으로 구매 전 상품 상세페이지에서 확인되는 배송예정일은 아이디에 설정된 기본배송지를 기준으로 안내됩니다. 기본배송지와 주문/결제 시 선택한 배송지에 따라 쿠팡 배송직원의 배송 가능 여부가 달라질 수 있으며, 이에 따라 배송예정일도 다르게 보일 수 있습니다. 쿠팡 배송직원의 배송 권역 확대를 통해 고객님께 더욱 만족스러운 배송 서비스를 제공할 수 있도록 노력하는 쿠팡이 되겠습니다. 
 쿠팡 배송직원의 배송이 가능/불가능할 경우 (클릭)
 배송현황 확인하기 (클릭)"
56,환불,다른 사람 명의의 계좌로 환불받을 수 있나요?,아니요. 고객님 본인 명의의 계좌로만 환불을 받을 수 있습니다.
57,환불,"주문을 취소했는데, 언제 환불되나요?","주문 취소 후 환불 예정일 확인하기
마이쿠팡 → 취소/반품/교환/환불내역 
 주문의 취소 처리가 완료된 후에 결제금액 환불이 진행됩니다. 결제수단별 환불 소요시간이 각기 다르니 아래의 세부내용을 참고 부탁드립니다. 
 결제수단별 환불 기간 (더 보기)











 환불계좌 등록하기 (더 보기)"
58,취소,상품을 취소하고 싶어요.,"상품의 주문 취소는 고객님께서 마이쿠팡을 통해 직접 할 수 있습니다. 단, 마이쿠팡 주문목록에서 [주문취소] 버튼이 보이지 않는다면 배송상태에 따라 취소가 불가능한 시점이니 이 경우엔 반품으로 진행해 주시기 바랍니다. 주문 취소 및 반품의 조건은 각 상품마다 다르니 자세한 내용은 상품의 상세페이지를 확인해 주세요.  
 주문 취소하기
• 마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다."
59,환불계좌,환불계좌를 등록/변경하고 싶어요.,"마이쿠팡에서 직접 등록/변경이 가능합니다. 환불계좌는 본인이 예금주인 계좌만 등록할 수 있습니다. 단, 반품 진행상태가 [환불진행중] 또는 [환불완료]인 상태에서는 환불계좌를 변경할 수 없습니다. 환불계좌 변경이 불가할 경우에는 반품 진행상태를 확인해 주세요.
 환불계좌 등록/변경하기
마이쿠팡 → 취소/반품/교환/환불내역 → 무통장환불 → [입력하기] 또는 [계좌변경]"
60,가입/탈퇴,탈퇴하면 개인정보는 모두 삭제되나요?,"회원 탈퇴와 함께 고객님의 개인정보는 완전히 삭제되므로 재가입을 하여도 구매내역은 확인이 불가합니다.
 단, 「상법」 및 「전자상거래 등에서의 소비자 보호에 관한 법률」 등 관련 법령에 따라 거래 관련 권리 의무 관계의 확인 등을 이유로 보유하여야 할 필요가 있을 경우, 거래정보는 법에서 정해진 기간동안 별도로 보관 후 파기합니다.
 • 계약 또는 청약철회 등에 관한 기록 : 5년
• 대금 결제 및 재화 등의 공급에 관한 기록 : 5년
• 소비자의 불만 또는 분쟁에 관한 기록 : 3년"
61,교환/반품,교환/반품 비용 결제는 어떻게 하나요?,"상품 문제 혹은 배송 지연 등 판매자 사유로 교환/반품을 하는 경우에는 비용이 발생하지 않습니다. 단, 구매자의 단순 변심으로 교환/반품을 하는 경우에는 아래와 같이 비용이 발생합니다.
 단순 변심 교환의 경우 (클릭)



 단순 변심 반품의 경우 (클릭)










 판매자 정보 확인하기 (클릭)"
62,쿠페이,쿠팡 쿠페이(Coupay)란 무엇인가요?,"쿠페이(Coupay)란 쿠팡이 제공하는 쉽고, 빠르고, 안전한 간편 결제 서비스입니다. 아래의 경로를 통해 은행계좌 또는 신용/체크카드 정보를 최초 1회만 등록해 주세요. 번거로운 공인인증서나 보안카드/OTP 기기 대신 고객님께서 설정한 비밀번호를 사용하여 쉽고 빠른 결제가 가능합니다. 또는 쿠페이 머니 전용 충전 계좌를 발급받은 후 금액을 미리 충전(이체) 하여 사용하실 수도 있습니다.
 쿠페이 등록하기
마이쿠팡 → 결제수단"
